time,datapoint
-3.840000,-0.007334
-3.825000,-0.007208
-3.810000,-0.005829
-3.795000,-0.003327
-3.780000,-0.001276
-3.765000,0.000914
-3.750000,0.002531
-3.735000,0.004014
-3.720000,0.008149
-3.705000,0.004408
-3.690000,0.008922
-3.675000,0.008198
-3.660000,0.011538
-3.645000,0.013609
-3.630000,0.018017
-3.615000,0.014868
-3.600000,0.016515
-3.585000,0.014884
-3.570000,0.017790
-3.555000,0.013295
-3.540000,0.012322
-3.525000,0.012884
-3.510000,0.010144
-3.495000,0.005813
-3.480000,0.004063
-3.465000,0.001268
-3.450000,-0.001141
-3.435000,-0.003629
-3.420000,-0.006369
-3.405000,-0.008851
-3.390000,-0.007992
-3.375000,-0.009547
-3.360000,-0.013509
-3.345000,-0.017896
-3.330000,-0.018700
-3.315000,-0.020557
-3.300000,-0.020554
-3.285000,-0.019625
-3.270000,-0.020269
-3.255000,-0.022071
-3.240000,-0.017581
-3.225000,-0.012262
-3.210000,-0.017814
-3.195000,-0.012227
-3.180000,-0.011396
-3.165000,-0.004894
-3.150000,-0.001430
-3.135000,0.001742
-3.120000,0.005700
-3.105000,0.007135
-3.090000,0.014780
-3.075000,0.019180
-3.060000,0.019821
-3.045000,0.025874
-3.030000,0.031274
-3.015000,0.022574
-3.000000,0.033466
-2.985000,0.030728
-2.970000,0.024452
-2.955000,0.037962
-2.940000,0.034354
-2.925000,0.027379
-2.910000,0.029683
-2.895000,0.018730
-2.880000,0.016009
-2.865000,0.010357
-2.850000,0.007487
-2.835000,0.002215
-2.820000,-0.002239
-2.805000,-0.004864
-2.790000,-0.009110
-2.775000,-0.015078
-2.760000,-0.015003
-2.745000,-0.018583
-2.730000,-0.015392
-2.715000,-0.021403
-2.700000,-0.032600
-2.685000,-0.029444
-2.670000,-0.021618
-2.655000,-0.030997
-2.640000,-0.028369
-2.625000,-0.025719
-2.610000,-0.024161
-2.595000,-0.019594
-2.580000,-0.016229
-2.565000,-0.011809
-2.550000,-0.011519
-2.535000,-0.007422
-2.520000,-0.001277
-2.505000,0.002163
-2.490000,0.006685
-2.475000,0.007625
-2.460000,0.012106
-2.445000,0.016953
-2.430000,0.014713
-2.415000,0.012471
-2.400000,0.018202
-2.385000,0.020116
-2.370000,0.018234
-2.355000,0.023225
-2.340000,0.026395
-2.325000,0.015402
-2.310000,0.016966
-2.295000,0.013689
-2.280000,0.010585
-2.265000,0.010345
-2.250000,0.009851
-2.235000,0.004821
-2.220000,0.003111
-2.205000,0.001108
-2.190000,-0.000939
-2.175000,-0.002766
-2.160000,-0.005388
-2.145000,-0.006225
-2.130000,-0.009024
-2.115000,-0.006695
-2.100000,-0.007743
-2.085000,-0.013308
-2.070000,-0.010329
-2.055000,-0.010990
-2.040000,-0.010254
-2.025000,-0.005420
-2.010000,-0.010872
-1.995000,-0.008831
-1.980000,-0.007595
-1.965000,-0.005994
-1.950000,-0.005181
-1.935000,-0.005136
-1.920000,-0.001950
-1.905000,-0.001236
-1.890000,-0.000315
-1.875000,0.000791
-1.860000,0.001688
-1.845000,0.002861
-1.830000,0.003336
-1.815000,0.002985
-1.800000,0.003049
-1.785000,0.003433
-1.770000,0.005932
-1.755000,0.005177
-1.740000,0.005847
-1.725000,0.005747
-1.710000,0.003694
-1.695000,0.003479
-1.680000,0.001604
-1.665000,0.002991
-1.650000,0.002710
-1.635000,0.001802
-1.620000,0.002105
-1.605000,0.001118
-1.590000,0.000681
-1.575000,0.000119
-1.560000,-0.000271
-1.545000,-0.000681
-1.530000,-0.001263
-1.515000,-0.001357
-1.500000,-0.001775
-1.485000,-0.002544
-1.470000,-0.001619
-1.455000,-0.002341
-1.440000,-0.002259
-1.425000,-0.002249
-1.410000,-0.002244
-1.395000,-0.001919
-1.380000,-0.001799
-1.365000,-0.001762
-1.350000,-0.001086
-1.335000,-0.000757
-1.320000,-0.000942
-1.305000,-0.000627
-1.290000,-0.000469
-1.275000,-0.000303
-1.260000,-0.000044
-1.245000,0.000097
-1.230000,0.000162
-1.215000,0.000312
-1.200000,0.000670
-1.185000,0.000664
-1.170000,0.000774
-1.155000,0.000488
-1.140000,0.000666
-1.125000,0.000812
-1.110000,0.000751
-1.095000,0.000829
-1.080000,0.000723
-1.065000,0.000670
-1.050000,0.000579
-1.035000,0.000626
-1.020000,0.000406
-1.005000,0.000233
-0.990000,0.000267
-0.975000,0.000176
-0.960000,0.000093
-0.945000,0.000011
-0.930000,-0.000053
-0.915000,-0.000095
-0.900000,-0.000142
-0.885000,-0.000228
-0.870000,-0.000196
-0.855000,-0.000219
-0.840000,-0.000371
-0.825000,-0.000320
-0.810000,-0.000369
-0.795000,-0.000359
-0.780000,-0.000280
-0.765000,-0.000294
-0.750000,-0.000237
-0.735000,-0.000271
-0.720000,-0.000185
-0.705000,-0.000155
-0.690000,-0.000132
-0.675000,-0.000114
-0.660000,-0.000051
-0.645000,-0.000032
-0.630000,-0.000003
-0.615000,0.000023
-0.600000,0.000031
-0.585000,0.000043
-0.570000,0.000067
-0.555000,0.000106
-0.540000,0.000106
-0.525000,0.000123
-0.510000,0.000111
-0.495000,0.000124
-0.480000,0.000090
-0.465000,0.000080
-0.450000,0.000127
-0.435000,0.000085
-0.420000,0.000083
-0.405000,0.000059
-0.390000,0.000052
-0.375000,0.000044
-0.360000,0.000039
-0.345000,0.000024
-0.330000,0.000010
-0.315000,0.000000
-0.300000,-0.000006
-0.285000,-0.000017
-0.270000,-0.000023
-0.255000,-0.000037
-0.240000,-0.000035
-0.225000,-0.000038
-0.210000,-0.000039
-0.195000,-0.000028
-0.180000,-0.000036
-0.165000,-0.000045
-0.150000,-0.000048
-0.135000,-0.000046
-0.120000,-0.000043
-0.105000,-0.000029
-0.090000,-0.000034
-0.075000,-0.000015
-0.060000,-0.000017
-0.045000,-0.000013
-0.030000,-0.000009
-0.015000,-0.000004
0.000000,0.000000
0.015000,0.000004
0.030000,0.000007
0.045000,0.000009
0.060000,0.000014
0.075000,0.000016
0.090000,0.000010
0.105000,0.000019
0.120000,0.000011
0.135000,0.000024
0.150000,0.000022
0.165000,0.000009
0.180000,0.000015
0.195000,0.000008
0.210000,0.000011
0.225000,0.000010
0.240000,0.000011
0.255000,0.000007
0.270000,0.000004
0.285000,0.000003
0.300000,0.000002
0.315000,-0.000000
0.330000,-0.000002
0.345000,-0.000003
0.360000,-0.000002
0.375000,-0.000006
0.390000,-0.000005
0.405000,-0.000007
0.420000,-0.000006
0.435000,-0.000008
0.450000,-0.000010
0.465000,-0.000006
0.480000,-0.000007
0.495000,-0.000006
0.510000,-0.000005
0.525000,-0.000004
0.540000,-0.000005
0.555000,-0.000004
0.570000,-0.000003
0.585000,-0.000002
0.600000,-0.000002
0.615000,-0.000001
0.630000,0.000000
0.645000,0.000000
0.660000,0.000001
0.675000,0.000001
0.690000,0.000002
0.705000,0.000003
0.720000,0.000003
0.735000,0.000003
0.750000,0.000003
0.765000,0.000004
0.780000,0.000003
0.795000,0.000002
0.810000,0.000003
0.825000,0.000002
0.840000,0.000001
0.855000,0.000002
0.870000,0.000002
0.885000,0.000001
0.900000,0.000001
0.915000,0.000000
0.930000,0.000000
0.945000,-0.000000
0.960000,-0.000000
0.975000,-0.000000
0.990000,-0.000000
1.005000,-0.000001
1.020000,-0.000001
1.035000,-0.000001
1.050000,-0.000001
1.065000,-0.000001
1.080000,-0.000001
1.095000,-0.000001
1.110000,-0.000001
1.125000,-0.000001
1.140000,-0.000001
1.155000,-0.000001
1.170000,-0.000001
1.185000,-0.000000
1.200000,-0.000000
1.215000,-0.000000
1.230000,-0.000000
1.245000,-0.000000
1.260000,0.000000
1.275000,0.000000
1.290000,0.000000
1.305000,0.000000
1.320000,0.000000
1.335000,0.000000
1.350000,0.000000
1.365000,0.000001
1.380000,0.000000
1.395000,0.000000
1.410000,0.000000
1.425000,0.000000
1.440000,0.000000
1.455000,0.000000
1.470000,0.000000
1.485000,0.000000
1.500000,0.000000
1.515000,0.000000
1.530000,0.000000
1.545000,0.000000
1.560000,0.000000
1.575000,-0.000000
1.590000,-0.000000
1.605000,-0.000000
1.620000,-0.000000
1.635000,-0.000000
1.650000,-0.000000
1.665000,-0.000000
1.680000,-0.000000
1.695000,-0.000000
1.710000,-0.000000
1.725000,-0.000000
1.740000,-0.000000
1.755000,-0.000000
1.770000,-0.000000
1.785000,-0.000000
1.800000,-0.000000
1.815000,-0.000000
1.830000,-0.000000
1.845000,-0.000000
1.860000,-0.000000
1.875000,-0.000000
1.890000,0.000000
1.905000,0.000000
1.920000,0.000000
1.935000,0.000000
1.950000,0.000000
1.965000,0.000000
1.980000,0.000000
1.995000,0.000000
2.010000,0.000000
2.025000,0.000000
2.040000,0.000000
2.055000,0.000000
2.070000,0.000000
2.085000,0.000000
2.100000,0.000000
2.115000,0.000000
2.130000,0.000000
2.145000,0.000000
2.160000,0.000000
2.175000,0.000000
2.190000,0.000000
2.205000,-0.000000
2.220000,-0.000000
2.235000,-0.000000
2.250000,-0.000000
2.265000,-0.000000
2.280000,-0.000000
2.295000,-0.000000
2.310000,-0.000000
2.325000,-0.000000
2.340000,-0.000000
2.355000,-0.000000
2.370000,-0.000000
2.385000,-0.000000
2.400000,-0.000000
2.415000,-0.000000
2.430000,-0.000000
2.445000,-0.000000
2.460000,-0.000000
2.475000,-0.000000
2.490000,-0.000000
2.505000,-0.000000
2.520000,0.000000
2.535000,0.000000
2.550000,0.000000
2.565000,0.000000
2.580000,0.000000
2.595000,0.000000
2.610000,0.000000
2.625000,0.000000
2.640000,0.000000
2.655000,0.000000
2.670000,0.000000
2.685000,0.000000
2.700000,0.000000
2.715000,0.000000
2.730000,0.000000
2.745000,0.000000
2.760000,0.000000
2.775000,0.000000
2.790000,0.000000
2.805000,0.000000
2.820000,0.000000
2.835000,-0.000000
2.850000,-0.000000
2.865000,-0.000000
2.880000,-0.000000
2.895000,-0.000000
2.910000,-0.000000
2.925000,-0.000000
2.940000,-0.000000
2.955000,-0.000000
2.970000,-0.000000
2.985000,-0.000000
3.000000,-0.000000
3.015000,-0.000000
3.030000,-0.000000
3.045000,-0.000000
3.060000,-0.000000
3.075000,-0.000000
3.090000,0.000000
3.105000,-0.000000
3.120000,-0.000000
3.135000,-0.000000
3.150000,0.000000
3.165000,0.000000
3.180000,0.000000
3.195000,0.000000
3.210000,0.000000
3.225000,0.000000
3.240000,0.000000
3.255000,0.000000
3.270000,0.000000
3.285000,-0.000000
3.300000,0.000000
3.315000,0.000000
3.330000,0.000000
3.345000,0.000000
3.360000,0.000000
3.375000,0.000000
3.390000,0.000000
3.405000,0.000000
3.420000,0.000000
3.435000,0.000000
3.450000,-0.000000
3.465000,-0.000000
3.480000,-0.000000
3.495000,-0.000000
3.510000,-0.000000
3.525000,-0.000000
3.540000,0.000000
3.555000,-0.000000
3.570000,-0.000000
3.585000,-0.000000
3.600000,-0.000000
3.615000,0.000000
3.630000,0.000000
3.645000,0.000000
3.660000,-0.000000
3.675000,-0.000000
3.690000,-0.000000
3.705000,-0.000000
3.720000,-0.000000
3.735000,-0.000000
3.750000,0.000000
3.765000,-0.000000
3.780000,0.000000
3.795000,0.000000
3.810000,0.000000
3.825000,-0.000000
3.840000,0.000000
3.855000,0.000000
3.870000,0.000000
3.885000,0.000000
3.900000,0.000000
3.915000,0.000000
3.930000,0.000000
3.945000,-0.000000
3.960000,0.000000
3.975000,-0.000000
3.990000,-0.000000
4.005000,-0.000000
4.020000,0.000000
4.035000,-0.000000
4.050000,-0.000000
4.065000,0.000000
4.080000,-0.000000
4.095000,-0.000000
4.110000,0.000000
4.125000,0.000000
4.140000,0.000000
4.155000,-0.000000
4.170000,0.000000
4.185000,0.000000
4.200000,-0.000000
4.215000,-0.000000
4.230000,0.000000
4.245000,0.000000
4.260000,0.000000
4.275000,-0.000000
4.290000,0.000000
4.305000,-0.000000
4.320000,0.000000
4.335000,-0.000000
4.350000,-0.000000
4.365000,0.000000
4.380000,-0.000000
4.395000,-0.000000
4.410000,-0.000000
4.425000,0.000000
4.440000,-0.000000
4.455000,0.000000
4.470000,0.000000
4.485000,-0.000000
4.500000,0.000000
4.515000,0.000000
4.530000,0.000000
4.545000,-0.000000
4.560000,-0.000000
4.575000,-0.000000
4.590000,0.000000
4.605000,-0.000000
4.620000,0.000000
4.635000,0.000000
4.650000,0.000000
4.665000,0.000000
4.680000,0.000000
4.695000,0.000000
4.710000,0.000000
4.725000,-0.000000
4.740000,0.000000
4.755000,-0.000000
4.770000,-0.000000
4.785000,-0.000000
4.800000,0.000000
4.815000,-0.000000
4.830000,-0.000000
4.845000,-0.000000
4.860000,-0.000000
4.875000,0.000000
4.890000,-0.000000
4.905000,-0.000000
4.920000,0.000000
4.935000,-0.000000
4.950000,0.000000
4.965000,0.000000
4.980000,-0.000000
4.995000,-0.000000
5.010000,0.000000
5.025000,-0.000000
5.040000,0.000000
5.055000,-0.000000
5.070000,-0.000000
5.085000,-0.000000
5.100000,0.000000
5.115000,0.000000
5.130000,-0.000000
5.145000,0.000000
5.160000,0.000000
5.175000,0.000000
5.190000,0.000000
5.205000,-0.000000
5.220000,0.000000
5.235000,-0.000000
5.250000,-0.000000
5.265000,-0.000000
5.280000,-0.000000
5.295000,0.000000
5.310000,0.000000
5.325000,0.000000
5.340000,-0.000000
5.355000,0.000000
5.370000,0.000000
5.385000,0.000000
5.400000,0.000000
5.415000,0.000000
5.430000,-0.000000
5.445000,-0.000000
5.460000,0.000000
5.475000,0.000000
5.490000,-0.000000
5.505000,-0.000000
5.520000,-0.000000
5.535000,0.000000
5.550000,-0.000000
5.565000,0.000000
5.580000,-0.000000
5.595000,0.000000
5.610000,-0.000000
5.625000,0.000000
5.640000,0.000000
5.655000,-0.000000
5.670000,0.000000
5.685000,0.000000
5.700000,-0.000000
5.715000,0.000000
5.730000,0.000000
5.745000,-0.000000
5.760000,0.000000
5.775000,-0.000000
5.790000,0.000000
5.805000,-0.000000
5.820000,0.000000
5.835000,-0.000000
5.850000,-0.000000
5.865000,-0.000000
5.880000,-0.000000
5.895000,-0.000000
5.910000,0.000000
5.925000,0.000000
5.940000,0.000000
5.955000,0.000000
5.970000,-0.000000
5.985000,0.000000
6.000000,0.000000
6.015000,-0.000000
6.030000,0.000000
6.045000,-0.000000
6.060000,-0.000000
6.075000,0.000000
6.090000,0.000000
6.105000,0.000000
6.120000,0.000000
6.135000,-0.000000
6.150000,-0.000000
6.165000,-0.000000
6.180000,-0.000000
6.195000,-0.000000
6.210000,0.000000
6.225000,0.000000
6.240000,0.000000
6.255000,0.000000
6.270000,0.000000
6.285000,0.000000
6.300000,-0.000000
6.315000,-0.000000
6.330000,-0.000000
6.345000,0.000000
6.360000,-0.000000
6.375000,0.000000
6.390000,-0.000000
6.405000,-0.000000
6.420000,-0.000000
6.435000,0.000000
6.450000,0.000000
6.465000,0.000000
6.480000,-0.000000
6.495000,-0.000000
6.510000,0.000000
6.525000,0.000000
6.540000,-0.000000
6.555000,0.000000
6.570000,-0.000000
6.585000,-0.000000
6.600000,0.000000
6.615000,-0.000000
6.630000,0.000000
6.645000,0.000000
6.660000,0.000000
6.675000,-0.000000
6.690000,0.000000
6.705000,0.000000
6.720000,0.000000
6.735000,-0.000000
6.750000,-0.000000
6.765000,0.000000
6.780000,0.000000
6.795000,0.000000
6.810000,-0.000000
6.825000,0.000000
6.840000,0.000000
6.855000,-0.000000
6.870000,0.000000
6.885000,-0.000000
6.900000,-0.000000
6.915000,0.000000
6.930000,-0.000000
6.945000,-0.000000
6.960000,0.000000
6.975000,-0.000000
6.990000,0.000000
7.005000,-0.000000
7.020000,0.000000
7.035000,0.000000
7.050000,-0.000000
7.065000,0.000000
7.080000,0.000000
7.095000,0.000000
7.110000,-0.000000
7.125000,0.000000
7.140000,0.000000
7.155000,-0.000000
7.170000,0.000000
7.185000,0.000000
7.200000,-0.000000
7.215000,0.000000
7.230000,0.000000
7.245000,0.000000
7.260000,-0.000000
7.275000,0.000000
7.290000,0.000000
7.305000,-0.000000
7.320000,0.000000
7.335000,-0.000000
7.350000,0.000000
7.365000,0.000000
7.380000,-0.000000
7.395000,0.000000
7.410000,-0.000000
7.425000,-0.000000
7.440000,0.000000
7.455000,-0.000000
7.470000,0.000000
7.485000,-0.000000
7.500000,-0.000000
